,name,description,ingredients,steps
1144,potato cauliflower and green bean curry,"potato cauliflower and green bean curry with seed, diced yellow onion, minced garlic, sea salt, unsalted diced tomatoes, unsalted cashews, fresh ginger, lemon juice, garam masala, ground cumin, turmeric, cayenne pepper, yellow mustard, ground coriander, ground cinnamon, filtered water, diced potatoes, cauliflower florets, green beans, chopped fresh cilantro","2.0 tablespoon seed, 2.0 cup diced yellow onion, 2.0 tablespoon minced garlic, 1.5 teaspoon sea salt, 14.5 ounce unsalted diced tomatoes, 0.5 cup unsalted cashews, 2.0 tablespoon fresh ginger, 1.0 tablespoon lemon juice, 1.0 teaspoon garam masala, 1.0 teaspoon ground cumin, 0.5 teaspoon turmeric, 0.5 teaspoon cayenne pepper, 0.5 teaspoon yellow mustard, 0.5 teaspoon ground coriander, 0.2 teaspoon ground cinnamon, 2.0 cup filtered water, 2.0 cup diced potatoes, 2.0 cup cauliflower florets, 2.0 cup green beans, 0.2 cup chopped fresh cilantro","in a skillet over medium heat, warm the oil and saute the onions and garlic with 1/4 teaspoon of the salt for about 5 minutes, until the onions are soft and translucent, and starting to brown . allow to cool slightly . place the cooked onion mixture, canned tomatoes and their juices, cashews, ginger, lemon juice, garam masala, cumin, turmeric, cayenne, mustard, coriander, cinnamon, and 1 teaspoon of the salt into the blender jar of the kitchenaid power plus blender . secure the lid, and process for 30 to 60 seconds on variable speed 10 until smooth and creamy . in a large pot over medium low heat, add the blended mixture, and stir for about a minute until warmed through and starting to bubble and become fragrant . add the diced potatoes, and cook for 15 minutes, stirring every minute or so to prevent the mixture from sticking, adding 1/4 cup 60ml of the 2 cups of filtered water or more as needed when the mixture thickens and starts to stick . add the cauliflower and green beans and cook for a further 30 minutes adding 1/4 cup of the remaining filtered water or more as needed . once the vegetables are cooked through to your liking, remove from the heat, and stir through the cilantro . add salt and lemon juice to taste . serve over rice, quinoa, millet or any other grain of your choice, and garnish with cilantro."
3639,grilled lemon butter zucchini,grilled zucchini with a lemon butter baste zesty lemon butter and fresh herbs brings out the natural flavor of these lovely grilled courgettes.,"4 medium zucchini, halved lengthwise, 3 tbsp melted unsalted butter, 1 tbsp fresh chopped parsley, 1 tbsp freshly squeezed lemon juice, 2 tsp fresh lemon zest, 1/2 tsp white pepper, 1/4 tsp salt, 1 garlic clove, crushed, fresh lemon wedges and chopped parsley for garnish","preheat your grill . score the fleshy cut side of the zucchini halves with a few small shallow slits . this will help the butter sauce to penetrate the veggies it will also make them cook quicker and more evenly . place the zucchini slices skin side down, cut side up on a plate . whisk together melted butter, parsley, lemon juice, lemon zest, white pepper, salt and garlic . baste the cut side of the zucchini generously with the melted butter sauce . place the zucchini on a medium hot grill, green sides down, basted sides up . grill the zucchini for 6 minutes, then flip . continue to grill for another 6 8 minutes till tender . serve garnished with fresh lemon wedges and chopped parsley, if desired . goes great with tzatziki sauce."
213,pumpkin sherbet,"all the flavors you love about pumpkin pie, only frozen this sherbet is creamy and perfectly spiced, made with milk, pumpkin puree, and spices.","2 1/4 cups 1 milk, 1/2 cup 2 tbsp sugar, 1 cup pumpkin puree, 2 tsp pure vanilla extract, 1/2 tsp cinnamon, 1/4 tsp nutmeg, pinch of clove, pinch of salt","in a saucepan, combine milk, sugar, pumpkin, and heat over medium heat . bring to a full boil while whisking, then reduce heat to low, and simmer for thirty seconds . remove from the heat, and add the vanilla, nutmeg, cinnamon and clove, and stir . transfer the mixture to a bowl, and chill in the refrigerator until cold, about an hour . when chilled, freeze in your ice cream maker according to the manufacturer's instructions."
21,pb and j waffle sandwich,http //caitsplate.com/peanut butter and jelly waffle sandwich/,"2.0 whole waffles, 2.0 tablespoon natural peanut butter, 2.0 teaspoon preserves",toast waffles spread peanut butter and jelly on each side sandwich together and slice in half if desired sprinkle with berries or sandwich berries in between before pressing both sides together.
2105,sweet potato baked ziti,spiralized sweet potatoes replace the pasta in this veggie packed makeover of the classic baked pasta,"1.0 tablespoon olive oil, 0.2 cup shallot, 1.0 teaspoon minced fresh garlic, 0.5 teaspoon salt, 0.2 teaspoon pepper, 1.0 teaspoon italian seasoning, 1.0 crushed tomatoes, 1.0 tablespoon olive oil, 16.0 crimini mushrooms, 0.2 cup shallot, 1.0 teaspoon minced fresh garlic, 1.0 teaspoon kosher salt, 0.5 teaspoon pepper, 1.0 teaspoon italian seasoning, 1.0 tablespoon balsamic vinegar, 1.0 frozen spinach, 16.0 ricotta cheese, 8.0 mozzarella cheese, 0.2 cup grated parmesan cheese, 2.0 sweet potatoes","preheat oven to 375 degrees f . arrange an oven rack to center position . spray a 13"" x 9"" x 2"" baking dish with non stick cooking spray or rub with additional oil in a large skillet 12 inch over medium heat, add 1 tablespoon oil, shallots, garlic, salt, pepper and italian seasoning . cook, stirring for about 2 minutes or until the shallots are softened . add the crushed tomatoes and bring to a simmer . reduce heat to maintain low simmer and stir frequently for 10 minutes or until ready to use . in a large skillet 12 inch over medium heat, add 1 tablespoon oil, mushrooms, shallots, garlic, 1/2 teaspoon salt, 1/4 teaspoon pepper and italian seasoning . cook, stirring for about 7 8 minutes or until the mushrooms have released their juices and are starting to brown . stir in balsamic vinegar and cook, stirring for a minute . add spinach and stir to mix in . remove from heat and allow to cool . in bowl of stand mixer, using flat beater, combine ricotta cheese, mozzarella cheese reserving 1/2 cup for later, 1/4 cup parmesan cheese, and remaining 1/2 teaspoon salt and 1/4 teaspoon pepper . mix on medium speed to combine . stir in cooled mushroom and spinach mixture on low speed . trim ends off sweet potatoes and cut to fit spiralizer if necessary . use peeler blade and fine spiralizing blade to spiralize sweet potatoes . you will need 8 cups of spiralized sweet potatoes . coat the bottom of the prepared pan with about 1/3 cup marinara sauce . arrange half of the sweet potatoes over the sauce . dollop half of the ricotta mixture over the sweet potatoes and top that with half of the marinara sauce . layer the rest of the sweet potatoes, the rest of the ricotta mixture and the rest of the marinara sauce . cover and bake for 45 minutes . uncover, top with remaining parmesan and mozzarella and bake uncovered for about 20 25 minutes or until the sweet potatoes are tender . allow to rest for 10 minutes before serving."
1160,lemon blueberry baked french toast casserole,"bursting with fresh blueberries and zippy lemon flavor, this baked french toast casserole is perfect for spring and summertime brunches . the recipe is a yummly original created by sara mellas https //www.yummly.com/dish/author/sara 20mellas .","nonstick cooking spray, 1.0 pound day old challah, 8.0 eggs, 0.5 cup sugar, 1.8 cup whole milk, 1.0 teaspoon vanilla extract, 2.0 lemons, 0.1 teaspoon salt, 1.0 cup fresh blueberries, powdered sugar","preheat the oven to 350degf . spray a 9x13 inch baking dish liberally with nonstick cooking spray . cut bread into 1 inch cubes and transfer to a large mixing bowl . set aside . in a large mixing bowl, combine eggs, sugar, milk, vanilla extract, lemon zest and salt and whisk until smooth . add to bread cubes, then add blueberries, and fold with a rubber spatula . transfer bread mixture to prepared baking dish . bake french toast on middle rack of oven until it is golden brown on top and a toothpick inserted in the center of a piece comes out clean, 45 50 minutes . check to see that french toast is done . remove from oven or add time as needed . allow french toast to cool in dish for at least 10 minutes . prior to serving, plate toast cut as desired, then sift powdered sugar over the top . refrigerate leftovers for 2 3 days."
1617,vegetarian grape leaves dolmades,"learn to make vegetarian stuffed grape leaves, also known as dolmades, with rice, pine nuts, dill, mint, and lemon . kosher, pareve, gluten free.","1/2 cup pine nuts, 1 1/2 cups long grain white rice, 1 medium onion, minced, 1/2 cup fresh minced dill, 1/4 cup fresh minced mint, 6 tbsp freshly squeezed lemon juice, divided, 1 tbsp lemon zest, 1 3/4 cups vegetable broth a yellow broth is best, divided, 50 large grape leaves fresh or jarred, salt and pepper, 1/2 cup extra virgin olive oil, fresh mint leaves, lemon slices, and olives for garnish optional","pour the pine nuts into a skillet and lightly toast them over medium heat till golden brown . reserve.pour 1/4 cup of olive oil into a medium pot and heat it over medium . add minced onion to the pot and saute until soft . add the rice to the pot and stir to combine . saute for another minute . pour in 3/4 cup vegetable broth and lower the heat simmer the rice uncovered for about 10 minutes till the liquid is absorbed and the rice is half cooked . do not cook the rice fully, or you'll end up with mushy grape leaves just cook it to an al dente texture . remove pot from heat . add the minced dill, mint, toasted pine nuts, 2 tbsp fresh lemon juice and lemon zest to the pot of rice . stir till all ingredients are well combined . season with salt and pepper to taste . let the mixture cool to room temperature . fill a large pot with salted water and bring to a boil . as the water is heating, trim the leaves by cutting the stems off, flush with the leaves . trim any large, hard veins from the leaves . place the leaves in the boiling water and let them soften for 3 5 minutes till they become pliable fresh leaves may take a bit longer to soften than jarred . drain, then cover the leaves with cold water . drain the leaves again and pat them dry.note if using fresh leaves, try to use younger leaves medium size they'll be more tender than the very large leaves . place a grape leaf shiny smooth side down, vein bumpy side up, on a flat surface like a cutting board . place 2 tbsp of rice filling at the base end of the leaf, near where the stem was . fold the stem end up over the filling . fold the edges of the leaf inward . continue rolling the leaf till it forms a neat rolled package . do not roll too tightly the rice will expand a little during cooking, and if you roll it too tight the leaf will unravel as it cooks . squeeze the roll gently to seal.repeat the process with the remaining leaves till all of the filling is gone . as you roll the leaves, you may find some leaves that are damaged or have large holes . place those damaged leaves into the bottom of your saute pan to line it and create a bed for the stuffed leaves . place the stuffed leaves in the bottom of the saute pan . don't be afraid to pack the leaves snugly this will help keep the leaves intact as they cook . make a single layer on the bottom of the pan . when you run out of room, make a second layer on top . pour 1 cup of broth, 1/4 cup of extra virgin olive oil, and 1/4 cup of fresh lemon juice over the stuffed grape leaves . heat the pan over medium until it begins to simmer don't boil, or the leaves will start to fall apart .cover the pot . let the grape leaves cook for 30 40 minutes . the leaves are finished cooking when they are fork tender . stuffed grape leaves can be served warm or cold, as is or topped with a variety of sauces . i like serving them with fresh tzatziki or tahini sauce recipes for both can be found on my blog . store them in the refrigerator they will keep for about 1 week."
3756,skinny rice krispies treats,none,"2 tbsp light butter spread, 4 cups or 10 oz mini marshmallows, 6 cups rice krispies, cooking spray","spray a 9x12 inch pan with cooking spray and set aside . heat a large saucepan on low heat . melt butter spread being sure to coat the bottom of the pot to prevent sticking . add marshmallows and melt on low flame . stir until completely melted, then remove from heat . add rice krispies to the melted marshmallows, and stir until completely combined this is the hardest part, do this quick before the marshmallows cool . press into the buttered pan with wax paper and cut them into 16 pieces."
5862,kalfsrolletjes met ham en champignons,"kalfsrolletjes met ham en champignons maak je eenvoudig en snel met dit recept en bertolli pastasaus romig . bertolli pastasaus romig is geinspireerd op lambardia en heeft hierdoor een romige, zoetige smaak . de kalfsrolletjes lijken heel erg op rollade en ogen daardoor erg feestelijk.","250.0 gram champignons, 4.0 kalfsschnitzels, 0.5 bag bertolli pastasaus romig, 4.0 slice ham, 3.0 tablespoon becel original, 1.0 deciliter witte wijn","snijd de champignons in plakjes . leg de kalfsschnitzels op een plank en sla ze met een deegroller of de platte kant van een groot mes iets platter . bestrijk het vlees met de bertolli pastasaus romig en leg er een plakje rauwe ham op . rol de schnitzels stevig op, zet ze vast met een cocktailprikker en wrijf ze in met zout en peper . verhit de bertolli original in een koekenpan en bak hierin de rolletjes rondom in 6 8 minuten bruin . bak de champignons 3 minuten mee . schenk de droge witte wijn erbij en laat de rolletjes nog 5 minuten zachtjes sudderen."
4452,crock pot creamy tomato soup,"this creamy, rich crock pot tomato soup is made in the slow cooker with tomatoes, herbs, milk and pecorino romano cheese, plus the cheese rind for added flavor.","1 tbsp olive oil, 1 cup finely diced celery, 1 cup finely diced carrots, 1 cup finely diced onions, 28 oz can whole plum tomatoes, 1 tsp thyme, 1/4 cup fresh basil, 3 1/2 cups reduced sodium chicken broth, parmesan or romano cheese rind, 1 bay leaf, 2 tablespoons unsalted butter, 2 tablespoons flour, 1/3 cup grated pecorino romano cheese, 1 3/4 cups reduced fat, salt, black pepper","heat a large skillet over medium heat, then add the oil, celery, carrots and onions cook 5 to 6 minutes, or until golden . add to slow cooker . pour the juice of the tomatoes into the slow cooker, then roughly crush the tomatoes with your hands add to slow cooker . then add chicken or vegetable broth, the cheese rind if using thyme, basil, and bay leaf . cover and cook on low for 6 hours, until the vegetables get soft and the flavors blend . remove the cheese rid and, using an immersion blender, blend the soup until smooth or you can carefully do this in small batches in the blender . melt the butter over low heat in a large skillet and add the flour . stir constantly with a whisk for 4 to 5 minutes . slowly whisk in about 1 cup of the hot soup, then add the 1 3/4 cups of warmed milk and stir until smooth . pour back into the slow cooker and stir, add the grated pecorino cheese and adjust salt and pepper, to taste . cover and cook on low 30 more minutes."
4998,chinese bbq ribs,this recipe is courtesy of omnivore's cookbook https //omnivorescookbook.com/ .,"1.0 rack pork ribs, 0.5 tablespoon salt, 1.5 teaspoon gochugaru, 0.5 teaspoon white pepper, 0.5 teaspoon five spice powder, 3.0 tablespoon brown sugar, 2.0 tablespoon oyster sauce, 2.0 tablespoon hoisin sauce, 2.0 tablespoon honey, 1.0 tablespoon soy sauce, 1.0 teaspoon salt, 2.0 teaspoon rice vinegar, 2.0 teaspoon shaoxing wine, 1.0 teaspoon grated ginger, 1.0 clove garlic, 0.5 teaspoon chinese five spice powder, 10.0 drop red food coloring","optional remove the membrane from the back of the ribs by loosening one end with a knife, and then tearing it away . prepare a large piece of foil at least 2"" / 5 cm bigger than the ribs on all sides to layer over a baking sheet . place the ribs back side up onto the foil . combine the dry rub ingredients 1/2 tbsp salt, 1 1/2 tsp gochugaru, 1/2 tsp white pepper, 1/2 tsp five spice powder in a small bowl and mix well . sprinkle evenly over the back of the ribs and rub in . flip the ribs and sprinkle on the top side, rub in the spice again . set aside to marinate briefly while preheating the oven to 275degf 135degc . combine the sauce ingredients in a medium sized bowl . mix well . bbq sauce ingredients 3 tbsp brown sugar, 2 tbsp oyster sauce, 2 tbsp hoisin sauce, 2 tbsp honey, 1 tbsp soy sauce, 1 tsp salt, 2 tsp rice vinegar, 2 tsp shaoxing wine, 1 tsp grated ginger, 1 clove garlic, 1/2 tsp five spice powder, 6 10 drops of red food coloring once the oven is heated, brush a thin layer of sauce all over the ribs . place another piece of foil over the top . crimp the bottom foil over the top foil and fold a few times to create a sealed parcel . place the ribs in the oven and bake for 2 to 3 hours depending on their size . once done, use a thermometer or a fork to poke through the foil to test the doneness . the meat should feel very tender or read at least 160degf/71degc . while cooking, prepare a baking tray lined with foil or parchment paper and a rack on top . remove the ribs from the oven and turn the heat up to 450degf 230degc . carefully open the parcel and move the ribs to the prepared baking tray . generously brush the top and back of the ribs with the sauce, leaving a few tablespoons for after cooking . return the ribs to the oven and bake until beginning to char, 10 to 15 minutes . check on the ribs every 5 minutes to prevent them from burning . remove the ribs from the oven and brush with a thin layer of sauce . let cool for 10 minutes then slice the ribs and serve hot with the remaining sauce."
5938,asian sesame roasted broccoli,"slightly salty, slightly sweet, this soy and sesame roasted broccoli is addictive the recipe is a yummly original created by sara mellas https //www.yummly.com/dish/author/sara 20mellas .","1.0 bag broccoli florets, 3.0 tablespoon tamari sauce, 2.0 tablespoon sesame oil, 1.0 tablespoon brown sugar, 0.5 teaspoon crushed red pepper, 1.0 tablespoon toasted sesame seeds","preheat the oven to 400degf . line a large baking sheet with parchment paper . make sure the broccoli florets are roughly 1 inch wide, and place them in a large mixing bowl . sprinkle with the tamari, sesame oil, brown sugar, and crushed red pepper if using . toss until the florets are evenly coated . arrange the broccoli florets in an even layer on the baking sheet . roast on middle rack of oven, stirring halfway through the cook time, until broccoli is crisp tender and slightly charred, 22 25 minutes . check to see that broccoli is done . remove from oven or add time as needed . sprinkle the florets with sesame seeds, and serve immediately."
214,classic monte cristo sandwich,"classic monte cristo sandwich with large eggs, milk, salt, pepper, dijon mustard, texas toast, swiss cheese, roasted turkey breast, baked ham, smucker's seedless red raspberry jam, butter, powdered sugar","2.0 large eggs, 0.2 cup milk, 0.2 teaspoon salt, 0.1 teaspoon pepper, 1.0 tablespoon dijon mustard, 4.0 slice texas toast, 4.0 swiss cheese, 4.0 roasted turkey breast, 2.0 slice baked ham, 6.0 tablespoon smucker's seedless red raspberry jam, 2.0 tablespoon butter, 2.0 teaspoon powdered sugar","beat eggs with fork in 13 x 9 inch pan . mix in milk, salt and pepper . set aside . spread mustard on 2 slices of bread . top each slice with 1 slice cheese, 2 slices turkey, 1 slice ham and remaining cheese . spread 1 tablespoon jam on each of 2 remaining bread slices . place on top of cheese, jam side down . melt 1 tablespoon butter in large, nonstick skillet over medium heat . meanwhile, place sandwiches in egg mixture for 10 seconds . turn and soak other side until most of the liquid is absorbed . place sandwiches in hot skillet . reduce heat to medium low . cook 6 to 7 minutes or until golden brown on bottom . melt remaining 1 tablespoon butter in skillet . turn sandwiches and cook an additional 4 to 5 minutes or until golden . microwave remaining 1/4 cup jam in small, microwave safe bowl on high 45 seconds . whisk until syrupy . sprinkle sandwiches with powdered sugar . serve with melted jam."
2096,crockpot kid friendly turkey chili,"this crockpot turkey chili recipe is just for the kiddos or picky family members a kid friendly chili with ground turkey, corn, bell pepper, tomatoes and spices . serve it with some chips on the side for the perfect back to school lunch.","1.3 lbs 99 lean ground turkey, 1 teaspoon oil, 1 medium onion, 1 red bell pepper, 1 garlic clove, 1 1/2 cups frozen corn kernels, 10 oz can rotel mild tomatoes, 8 oz small can plain tomato sauce, 1/4 cup low sodium chicken broth, 1 teaspoon cumin, 1/2 teaspoon chili powder, 1/2 teaspoon paprika, 1/2 teaspoon kosher salt, 1 bay leaf, diced avocado, reduced fat sour cream, reduced fat shredded cheese, baked tortilla chips","heat a large skillet over medium high heat, add the turkey, season with salt and cook, breaking up with a spoon until turkey browns and is no longer pink place into the slow cooker . add the oil to the skillet and saute the onion, garlic and bell pepper over medium heat for about 4 to 5 minutes . spoon over turkey into the slow cooker and stir in corn and tomatoes, tomato sauce, cumin, chili powder, paprika and salt, mix until well blended . pour chicken broth into the crock pot and add the bay leaf . cover and cook on high 4 hours or low 6 hours . serve with desired toppings."
5508,rice with chicken mom's way,"rice with chicken mom's way with bone chicken in thigh, olive oil, knorr chicken flavor bouillon, onion, red bell pepper, sliced, regular or converted rice, garlic, green peas, pimiento stuffed olives, ketchup, water","6.0 bone chicken in thigh, 2.0 tablespoon olive oil, 2.0 tablespoon knorr chicken flavor bouillon, 1.0 onion, 2.0 red bell pepper, sliced, 1.0 cup regular or converted rice, 2.0 clove garlic, 1.0 cup green peas, 0.3 cup pimiento stuffed olives, 2.0 tablespoon ketchup, 2.0 cup water","heat 1 tablespoon oil 12 inch skillet over medium high heat and cook chicken with 1 tablespoon knorr chicken flavor bouillon, turning once, 6 minutes . remove chicken and set aside . add remaining oil to same skillet and cook red peppers and onion over medium heat, stirring occasionally, 5 minutes or until crisp tender . add rice and garlic and cook, stirring frequently, 2 minutes or until rice is golden . add water, chicken and remaining bouillon and bring to a boil over high heat . reduce heat to medium low and simmer covered 20 minutes . remove chicken and set aside . cook rice an additional 10 minutes or until rice is tender . meanwhile, shred chicken and discard bones . stir chicken, peas, olives and ketchup into skillet . cook covered 5 minutes or until liquid is absorbed . garnish, if desired, with chopped fresh cilantro."
3178,apple cranberry crumble,"apple cranberry crumble is delicious and perfect for your holiday table easier and lighter than making a pie, topped with oats, nuts and a touch of brown sugar.","3 cups about 4 peeled gala apples, sliced, 1 cup fresh cranberries, 1 tbsp flour or cornstarch for gluten free, 1/2 tsp cinnamon, 2/3 cup pure maple syrup, cooking spray, 3/4 cup dry quick cooking oats, 1/4 cup packed light brown sugar, 1 tbsp all purpose flour, 3 tbsp melted whipped butter, 1/4 cup chopped walnuts or pecans, 1/4 tsp salt","preheat oven to 325degf . lightly spray a 9 inch square baking dish with cooking spray . combine apples, cranberries along with the rest of the filling ingredients in a bowl . pour into baking dish and even out with a spoon . in another bowl, combine the topping ingredients sprinkle over apple/cranberry mixture . bake uncovered, for 55 60 minutes or until browned and bubbly . serve warm."
4828,turkey sweet potato shepherd's pie,"shepherd's pie filled with ground turkey sauteed with mixed vegetables, sliced mushrooms and fresh herbs with a savory garlic sweet potato topping.","1 1/2 lbs sweet potatoes, 3 cloves garlic, 1/2 cup 1 milk, 1/4 cup chicken broth, 2 tbsp reduced fat sour cream, kosher salt and pepper to taste, 1 lb 93 lean ground turkey, 1 tsp olive oil, 1 medium onion, 1 celery stalk, 1 parsnip, 2 cloves garlic, 8 oz mushrooms, 10 oz frozen mixed vegetables, 2 tbsp flour, 1 cup fat free low sodium chicken broth, 2 tsp tomato paste, 1 tsp worcestershire sauce, 1 tsp freshly chopped rosemary, salt and pepper, paprika","for the sweet potatoes boil sweet potatoes and garlic in a pot of salted water until cooked and soft . drain and mash with chicken broth, milk, sour cream, salt and pepper . preheat oven to 400degf . for the filling in a large skillet brown the ground turkey about 5 minutes season with salt and pepper . when cooked, set aside on a plate . add olive oil to the pan, then add the onion and saute one minute . add the celery, parsnip, salt and pepper to taste cook about 12 minutes, until celery is soft . add garlic and mushrooms saute another 3 4 minutes . add flour, salt and pepper and mix well . add frozen vegetables, chicken broth, tomato paste, worcestershire sauce, rosemary, cooked turkey, and mix well . simmer on low about 5 10 minutes . in 6 oven safe individual oven safe dishes or a 9 x 12 baking dish spread 1 cup of the meat mixture on the bottom of each dish . top each with 1/2 cup mashed sweet potatoes . use a fork to scrape the top of the potatoes to make ridges sprinkle with paprika . if making ahead you can freeze at this point . bake 20 to 30 minutes or until potatoes turn golden and the filling is heated through . if baking in a large casserole dish, add more time as needed to heat through . remove from oven and let it cool 10 minutes before serving."
1418,chinese style braised pork,chinese braised pork is a widely loved dish in all part of the country . this is the recipe that my grandma taught me . video instruction https //www.youtube.com/watch v nt8yfvfes9c,"pork, green onion, ginger, soy, dark soy, chinese cooking wine, sugar, water, oil","cut the pork into 1 inch dices . cut ginger and green onion into fine piece . boil the pork until all the pork became white . drain out all the water, and rinse each piece with running water . fire up the stove add 2 tbs oil . put in the ginger and green onion flip for about 5 second . put in pork let keep flipping . until smelling the scent of ginger and onion . add in both dark and light soy sauce, cooking wine and sugar . add in water and boil for 40 min to 1 hour."
1184,slow cooker chicken and dumplings,"slow cooker chicken and dumplings with butter, boneless skinless chicken breast, onion, cream of chicken soup, biscuits, flour","2.0 tablespoon butter, 4.0 boneless skinless chicken breast, 1.0 onion, 2.0 can cream of chicken soup, 2.0 package biscuits, flour","place the chicken, butter, soup, and onion in a greased slow cooker, and fill with enough water to cover . secure lid and cook for 5 to 6 hours on high . about 30 minutes before serving, roll each torn biscuit piece in flour to prevent them from sticking together, then drop into the slow cooker . replace lid and cook remaining 30 minutes."
939,almond joy tofee parfait,visit post for recipe http //beautyblogtogo.com/2015/11/10/almond joy toffee parfait 2/,"1.0 box almond, 6.0 cup graham cracker crumbs, milk chocolate",mix pudding according to package directions allow to chill 30 minutes
3640,bar b que brisket by julie,via laurel,"celery salt, garlic salt, onion salt, 1.0 bottle liquid smoke, 1.0 bottle worcestershire sauce, 1.0 bottle b and b","marinade overnight in the celery salt, garlic salt, onion salt and liquid smoke pour off liquid smoke, add bottle of worcestershire sauce . bake 5 hrs at 250 degrees . add bottle of cattleman's b b que sauce and bake another hour at 250 degrees."
5784,parmesan and thyme roasted butternut squash,"if you've never had savory butternut squash, you're in for a treat . earthy thyme and nutty parmesan pair beautifully with the sweet roasted gourd in this simply prepared side dish.","1.0 bag butternut squash, 1.0 tablespoon grapeseed oil, 1.0 teaspoon dried thyme leaves, 0.5 teaspoon salt, 0.1 teaspoon black pepper, 2.0 tablespoon grated parmesan cheese, 2.0 sprig fresh thyme","preheat the oven to 400degf . line a sheet pan with parchment paper . set aside . chop the squash into 3/4 inch cubes and arrange in an even layer on the prepared sheet pan . drizzle the squash with oil . sprinkle with dried thyme, salt, and black pepper . use a rubber spatula to toss the squash until it is evenly coated in the oil . roast the squash for 30 minutes on the middle rack of the oven . open the oven and sprinkle the parmesan cheese evenly over the squash . roast for 5 10 minutes longer, until the squash is fork tender and the cheese is melted and lightly browned . check to see that squash is done . remove from oven or add time as needed . sprinkle fresh thyme leaves over the squash, if desired . serve immediately."
5314,bhalle papdi chaat,bhalle papdi chaat is a famous north indian fast food or street food . this is served almost all across india . most of the time you would find people gathering nearby road side food vendors serving these kind of mouth watering recipes.,"1.0 cup dal, salt, 1.0 tablespoon ginger, 0.5 teaspoon chilli powder, oil",grind the blackgram dal with salt and ginger paste with very less water to get a smooth batter . heat oil and fry small balls of the batter till golden brown.
807,"at home, no butter caramel popcorn","this is an easy snack to prepare for yourself, needy kids, or unexpected guests . you can substitute the vegetable oil for adjusted measurements of your favorite oil.","5.0 cup popped popcorn, 2.0 tablespoon vegetable oil, 1.0 tablespoon granulated white sugar, 0.5 cup brown sugar, 1.0 teaspoon pure vanilla extract, 1.0 tablespoon spun honey, 1.0 teaspoon sea salt","add vegetable oil to medium saucepan and warm on low heat add granulated sugar and stir with spatula until melted add brown sugar and vanilla extract and combine mixture will still be grainy add honey and stir continue stirring until sugar is completely melted a syrupy consistency will be achieved remove saucepan from heat spoon popcorn directly into the pan and use a spatula to roll it around until most of the popped kernels are covered in the caramel mixture spread corn onto a baking sheet covered with wax paper and sprinkle with sea salt allow to cool completely serve in a bowl for a quicker option, you may alternatively put the popcorn in a bowl and drizzle the hot caramel mixture over the top and mix it in with a spatula sprinkle with sea salt and allow to cool before serving"
4386,dark chocolate peanut butter swirl bark,none,"8 ounces lily's sugar free dark chocolate baking bar, 2 tablespoons creamy peanut butter, a few pinches of coarse sea salt","line a small 9 x 13 inch sheet pan with parchment paper . set aside . chop the chocolate with a knife . melt the chocolate in the microwave, stirring the chocolate every 30 seconds to help avoid seizing . once melted and smooth, set aside . this took me about 1 1/2 minutes, but will vary with every microwave . melt the peanut butter in the microwave in 20 second increments, stirring after each increment, until completely smooth, about 4o seconds . pour chocolate onto the prepared baking sheet, spreading with a rubber spatula into a smooth layer . drizzle melted peanut butter mixture in parallel lines on top of chocolate . run a toothpick or knife through to form swirls . top with a pinch or two of coarse sea salt . allow the bark to set completely in the refrigerator, about 30 minutes . once hardened, break into pieces as large or as small as you want . keep bark stored in an airtight container refrigerated or in a in a cool, dry place for up to 1 week."
4269,mud pies for april fool's day,"moist, dark, clumps of cake and pudding packed into individual pie shells.","2.0 pie crusts, 1.0 chocolate cake, 1.0 cup chocolate pudding, 10.0 chocolate sandwich cookies","cut the crusts into 4 pieces each . press each piece into a large muffin tin cup . prick with a fork . bake at 450 for about 9 minutes or until almost done . remove and place pan on rack . dough should finish cooking outside oven . return to oven if needed . cool completely before removing . mix together cake crumbs, pudding and cookie crumbs . fill pie shells . garnish with additional crumbs . serve with whipped cream if desired."
5005,thomas jefferson's marinated asparagus,"historical recipe from the city tavern cookbook . asparagus dressed the french way olive oil, red wine vinegar, hard cooked egg, capers, herbs.","1 1/2 lbs asparagus, stems peeled and trimmed, 2 tbsp red wine vinegar, 1/2 cup olive oil, pinch fresh thyme, pinch chopped fresh parsley, 1 large egg, hard cooked and chopped, 1/2 small red onion, finely chopped, 1 tbsp fine capers, drained, salt and freshly ground white pepper","wash the asparagus and trim the tough ends of the stalks . in a large saucepan, bring 2 quarts of lightly salted water to a boil over high heat . place the asparagus in the water and cook until just tender, 2 3 minutes . drain asparagus . add enough cold water to cover the asparagus . let stand about 5 minutes, until the asparagus is cool . drain again and pat the asparagus dry with paper towels . in a medium size mixing bowl, whisk together the vinegar, oil, thyme, parsley, egg, onion, and capers, and salt and pepper to taste . place the asparagus on a serving platter . pour the vinaigrette evenly over the asparagus . let the asparagus marinate in the dressing for a few minutes optional . garnish with additional chopped egg and parsley, if desired . serve at room temperature."
